epoch,step,train_loss_epoch,train_loss_step,val_loss
0,13,,,0.07840652018785477
0,13,0.08591308444738388,,
1,27,,,0.057999733835458755
1,27,0.0716131404042244,,
2,41,,,0.03200911357998848
2,41,0.04860086739063263,,
3,49,,0.02099965512752533,
3,55,,,0.013288874179124832
3,55,0.022512175142765045,,
4,69,,,0.00782929640263319
4,69,0.010308124125003815,,
5,83,,,0.005350703373551369
5,83,0.006445367820560932,,
6,97,,,0.003894610796123743
6,97,0.004414483439177275,,
7,99,,0.003554446389898658,
7,111,,,0.0031117000617086887
7,111,0.0033387092407792807,,
8,125,,,0.002601462649181485
8,125,0.002731615910306573,,
9,139,,,0.0022199698723852634
9,139,0.0023141070269048214,,
10,149,,0.0019156745402142406,
10,153,,,0.0018727041315287352
10,153,0.001968187279999256,,
11,167,,,0.0016098144697025418
11,167,0.0016794605180621147,,
12,181,,,0.0013987780548632145
12,181,0.0014550242340192199,,
13,195,,,0.001241746824234724
13,195,0.0012738695368170738,,
14,199,,0.0011496460065245628,
14,209,,,0.0011130200000479817
14,209,0.0011346916435286403,,
15,223,,,0.0010104681132361293
15,223,0.0010265647433698177,,
16,237,,,0.0009395339875482023
16,237,0.0009427301120012999,,
17,249,,0.0008671781979501247,
17,251,,,0.0008785226964391768
17,251,0.0008787299157120287,,
18,265,,,0.000832707213703543
18,265,0.0008274528663605452,,
19,279,,,0.0007930802530609071
19,279,0.0007852880517020822,,
20,293,,,0.0007595376810058951
20,293,0.0007498370250687003,,
21,299,,0.0006877382402308285,
21,307,,,0.0007336199632845819
21,307,0.0007195546641014516,,
22,321,,,0.0007051143329590559
22,321,0.0006937921862117946,,
23,335,,,0.0006820376729592681
23,335,0.0006691223243251443,,
24,349,,0.0006578762549906969,
24,349,,,0.0006608206313103437
24,349,0.0006484232726506889,,
25,363,,,0.0006408463232219219
25,363,0.0006304088165052235,,
26,377,,,0.000613198266364634
26,377,0.0006057686405256391,,
27,391,,,0.0005876875948160887
27,391,0.000577607483137399,,
28,399,,0.0005847045104019344,
28,405,,,0.0005692239501513541
28,405,0.0005548810586333275,,
29,419,,,0.000557473162189126
29,419,0.0005392763996496797,,
30,433,,,0.0005457233055494726
30,433,0.0005282807978801429,,
31,447,,,0.0005364218377508223
31,447,0.0005170724471099675,,
32,449,,0.0005159110296517611,
32,461,,,0.0005268700770102441
32,461,0.0005090289050713181,,
33,475,,,0.0005174336256459355
33,475,0.0004989202134311199,,
34,489,,,0.000510148354806006
34,489,0.0004901819047518075,,
35,499,,0.0004531864542514086,
35,503,,,0.0005014939815737307
35,503,0.00048337745829485357,,
36,517,,,0.0004955680924467742
36,517,0.0004762711760122329,,
37,531,,,0.00048718845937401056
37,531,0.0004694453382398933,,
38,545,,,0.000481551222037524
38,545,0.00046255215420387685,,
39,549,,0.00044723585597239435,
39,559,,,0.00047369932872243226
39,559,0.00045539281563833356,,
